No,시설명,대표자,연락처,주소,지도자,시설면적,운동종류,장애종류,강의명,시간,요일,강사명,기간,차량지원,장애 지원시설,수강료,경도,위도,상태
1,(사)신나는사상스포츠클럽,유재우,02-319-7330,부산광역시 사상구 가야대로 196번길 51 다누림센터,1명,1 ㎡,배드민턴,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 생활체육,14:00 ~ 14:50,"화,목",소대승,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역","80,000",128.994874513215,35.1474463970734,정좌표
2,(주)꿈자라다,김병식,031-719-1441,경기도 성남시 분당구 야탑로 32 삼부빌딜 4층(야탑동),11명,409 ㎡,기타종목,"지적/자폐, 기타",[12월] 특수체육,13:00 ~ 20:00,"월,화,수,목,금,토",류정국,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","80,000",127.122608635986,37.4087831270947,정좌표
3,(주)디에스그룹 달서복싱체육관 대곡점 ,정희준,02-244-7362,대구광역시 달성군 화원읍 비슬로 2707-1 4층 달서복싱,3명,3362 ㎡,복싱,"지체, 시각, 청각/언어, 지적/자폐, 기타",[12월] 신나는 운동 복싱교실 헬스,11:00 ~ 11:00,"월,화,수,목,금","정희준,,손예지",2020.12.01 ~ 2020.12.10,미지원,"장애인전용 주차구역,주출입구 단차없음,시각장애인 편의서비스,청각장애인 편의서비스","80,000",128.511287488876,35.8091927452404,정좌표
4,(주)스타칼리휘트니스,현보미,02-3141-4477,서울특별시 서대문구 연희로 82 브라운스톤 지하1층 스타칼리휘트니스(연희동),2명,1705 ㎡,헬스,기타,[12월] 헬스,06:00 ~ 23:55,"월,화,수,목,금,토,일",이원준,2020.12.01 ~ 2020.12.10,미지원,,"80,000",126.930271993972,37.5652127481956,정좌표
5,(주)애플스포츠,최장용,043-854-1919,"충청북도 충주시 삼원로 75 1층,2층(봉방동)",2명,360 ㎡,롤러인라인,"청각/언어, 지적/자폐",[12월] 즐거운 인라인교실 ,10:00 ~ 19:00,"월,화,수,목,금,토",애플쌤,2020.12.01 ~ 2020.12.10,지원,,"80,000",127.920622691433,36.9736034050102,정좌표
6,(주)하루하루움직임연구소,정고운,051-746-1152,부산광역시 해운대구 마린시티2로 2 1907호(우동),3명,76 ㎡,헬스,"지체, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 어댑핏 Re:피트니스,13:00 ~ 14:00,"월,수,금","정고운,,이봄시내,,장지원",2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","100,000",129.144242024113,35.1593247855869,정좌표
7,(주)하루하루움직임연구소,정고운,051-746-1152,부산광역시 해운대구 마린시티2로 2 1907호(우동),3명,76 ㎡,필라테스,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 어댑핏 휠체어필라테스,13:00 ~ 14:00,"화,목","정고운,,장지원,,이봄시내",2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","100,000",129.144242024113,35.1593247855869,정좌표
8,(주)한국스포츠산업개발원,최미옥,053-622-0095,대구광역시 달서구 학산로 17 지하1층(월성동),7명,1320 ㎡,헬스,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] GX,09:00 ~ 21:00,"월,화,수,목,금,토",이주석,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스,청각장애인 편의서비스","80,000",128.531102952308,35.8275304131386,정좌표
9,(주)한국스포츠산업개발원,최미옥,053-622-0095,대구광역시 달서구 학산로 17 지하1층(월성동),7명,1320 ㎡,복싱,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 뮤직복싱,09:00 ~ 21:00,"월,화,수,목,금,토",장유수,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스,청각장애인 편의서비스","80,000",128.531102952308,35.8275304131386,정좌표
10,(주)한국스포츠산업개발원,최미옥,053-622-0095,대구광역시 달서구 학산로 17 지하1층(월성동),7명,1320 ㎡,수영,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 재활수영,09:00 ~ 21:00,"월,화,수,목,금,토","변유진,,조성민",2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스,청각장애인 편의서비스","80,000",128.531102952308,35.8275304131386,정좌표
